order_id,order_date,customer_name,order_priority,product_id,quantity
IR-2011-4250,15-09-2011,Tim Brockman,Medium,OFF-IBI-10001951,2
ID-2011-41751,21-09-2011,Sandra Glassco,Medium,OFF-BI-10002708,2
CA-2011-116904,23-09-2011,Sanjit Chand,Medium,OFF-BI-10000301,2
US-2011-112914,25-09-2011,Michelle Tran,Medium,OFF-BI-10002982,2
IR-2011-7300,26-09-2011,Valerie Dominguez,Medium,OFF-IBI-10000099,2
ES-2011-5269399,28-09-2011,Cassandra Brandow,Medium,OFF-BI-10003642,2
CA-2011-111962,29-09-2011,Evan Bailliet,Medium,OFF-BI-10001308,2
GG-2011-9830,3/10/2011,Brendan Sweed,Medium,OFF-AVE-10004251,2
IN-2011-82708,7/10/2011,Adam Hart,Medium,OFF-BI-10002533,2
IT-2011-5001459,8/10/2011,Michael Granlund,Medium,OFF-BI-10004712,2
US-2011-112893,10/10/2011,Jim Kriz,Medium,OFF-BI-10000813,2
ES-2011-1273737,11/10/2011,Paul Van Hugh,Medium,OFF-BI-10002289,2
ES-2011-1941756,12/10/2011,Kristina Nunn,Medium,OFF-BI-10001621,2
IN-2011-76394,13-10-2011,Justin MacKendrick,Medium,OFF-BI-10001967,2
IN-2011-71739,15-10-2011,Fred Wasserman,Medium,OFF-BI-10004869,2
IN-2011-71739,15-10-2011,Fred Wasserman,Medium,OFF-BI-10003159,2
RO-2011-9820,19-10-2011,Dean percer,Medium,OFF-CAR-10000202,2
IN-2011-57956,19-10-2011,Shirley Schmidt,Medium,OFF-BI-10003025,2
IN-2011-67672,25-10-2011,Dennis Pardue,Medium,OFF-BI-10003646,2
ES-2011-2872060,25-10-2011,Susan MacKendrick,Medium,OFF-BI-10004722,2
CA-2011-145387,31-10-2011,Anne McFarland,Medium,OFF-BI-10004001,2
CA-2011-114195,1/11/2011,Erin Ashbrook,Medium,OFF-BI-10000494,2
MX-2011-144883,2/11/2011,Vivek Grady,Medium,OFF-BI-10000070,2
CA-2011-119529,3/11/2011,Denise Monton,Medium,OFF-BI-10000546,2
IR-2011-2750,4/11/2011,Hunter Glantz,Medium,OFF-AVE-10004251,2
ES-2011-3106999,4/11/2011,Paul MacIntyre,Medium,OFF-BI-10003708,2
TU-2011-5770,4/11/2011,Ralph Arnett,Medium,OFF-AVE-10004312,2
TU-2011-5770,4/11/2011,Ralph Arnett,Medium,OFF-ACC-10000307,2
IR-2011-6000,5/11/2011,Julie Creighton,Medium,OFF-CAR-10002031,2
CA-2011-114251,5/11/2011,Maribeth Dona,Medium,OFF-BI-10003684,2
MX-2011-138002,10/11/2011,Maribeth Dona,Medium,OFF-BI-10003653,2
CA-2011-128524,11/11/2011,Mary Zewe,Medium,OFF-BI-10003527,2
MX-2011-116379,11/11/2011,Neola Schneider,Medium,OFF-BI-10001248,2
ES-2011-3780358,15-11-2011,Chad Cunningham,Medium,OFF-BI-10000346,2
ES-2011-1244060,15-11-2011,Susan Vittorini,Medium,OFF-BI-10003058,2
MX-2011-108077,15-11-2011,Mike Caudle,Medium,OFF-BI-10000719,2
IT-2011-1573599,17-11-2011,Clay Cheatham,Medium,OFF-BI-10003281,2
MX-2011-163909,18-11-2011,Anna Chung,Medium,OFF-BI-10002799,2
ES-2011-3717351,23-11-2011,Alex Grayson,Medium,OFF-BI-10003899,2
AG-2011-500,23-11-2011,Alejandro Savely,Medium,OFF-WIL-10002153,2
ID-2011-56535,24-11-2011,Rose O'Brian,Medium,OFF-BI-10001096,2
IN-2011-41394,25-11-2011,Anna Gayman,Medium,OFF-BI-10002558,2
US-2011-162425,28-11-2011,Meg O'Connel,Medium,OFF-BI-10002483,2
UP-2011-3340,30-11-2011,Michelle Huthwaite,Medium,OFF-IBI-10004916,2
IN-2011-20443,5/12/2011,Christopher Conant,Medium,OFF-BI-10002424,2
NI-2011-2740,5/12/2011,Anna Andreadi,Medium,OFF-AVE-10001750,2
IN-2011-76758,6/12/2011,Andrew Gjertsen,Medium,OFF-BI-10003142,2
IN-2011-82533,9/12/2011,Alejandro Savely,Medium,OFF-BI-10001885,2
MX-2011-159856,9/12/2011,Rachel Payne,Medium,OFF-BI-10000188,2
CA-2011-124079,13-12-2011,Randy Ferguson,Medium,OFF-BI-10002103,2
CG-2011-6940,14-12-2011,Natalie Fritzler,Medium,OFF-IBI-10002486,2
AG-2011-1440,15-12-2011,Dean Braden,Medium,OFF-AVE-10004909,2
ES-2011-3136087,15-12-2011,Maureen Fritzler,Medium,OFF-BI-10000341,2
ES-2011-1119145,17-12-2011,Jeremy Farry,Medium,OFF-BI-10003724,2
ES-2011-1058269,17-12-2011,Michelle Moray,Medium,OFF-BI-10001685,2
US-2011-150574,19-12-2011,Mike Kennedy,Medium,OFF-BI-10000773,2
ES-2011-2880425,20-12-2011,Carlos Daly,Medium,OFF-BI-10003616,2
US-2011-154515,22-12-2011,Greg Maxwell,Medium,OFF-BI-10000816,2
MX-2011-165232,24-12-2011,Deanra Eno,Medium,OFF-BI-10000806,2
IN-2011-83513,25-12-2011,Patrick O'Brill,Medium,OFF-BI-10004361,2
MX-2011-115329,26-12-2011,Maribeth Schnelling,Medium,OFF-BI-10004830,2
ES-2011-2272875,27-12-2011,Dianna Wilson,Medium,OFF-BI-10004328,2
ID-2011-43977,27-12-2011,Chad McGuire,Medium,OFF-BI-10000340,2
MX-2011-153710,29-12-2011,Annie Zypern,Medium,OFF-BI-10000423,2
YM-2012-8660,3/1/2012,Erin Creighton,Medium,OFF-AVE-10002892,2
CA-2012-108588,5/1/2012,Brooke Gillingham,Medium,OFF-BI-10004506,2
ID-2012-85522,11/1/2012,Luke Weiss,Medium,OFF-BI-10003181,2
ES-2012-2522806,12/1/2012,Kelly Lampkin,Medium,OFF-BI-10002990,2
NI-2012-7400,17-01-2012,Greg Tran,Medium,OFF-WIL-10003299,2
ID-2012-46574,20-01-2012,Kelly Lampkin,Medium,OFF-BI-10000106,2
MX-2012-168690,21-01-2012,Stefania Perrino,Medium,OFF-BI-10001987,2
IN-2012-35143,23-01-2012,Rose O'Brian,Medium,OFF-BI-10001096,2
ES-2012-4806252,27-01-2012,Joe Elijah,Medium,OFF-BI-10003124,2
US-2012-142699,28-01-2012,Bill Shonely,Medium,OFF-BI-10004632,2
CA-2012-149587,31-01-2012,Karl Braun,Medium,OFF-BI-10002852,2
KZ-2012-1360,2/2/2012,Henia Zydlo,Medium,OFF-IBI-10004074,2
IZ-2012-7690,6/2/2012,Ivan Gibson,Medium,OFF-CAR-10000687,2
MO-2012-3720,9/2/2012,Annie Thurman,Medium,OFF-CAR-10001358,2
ES-2012-1059749,13-02-2012,Susan Pistek,Medium,OFF-BI-10004801,2
ES-2012-1059749,13-02-2012,Susan Pistek,Medium,OFF-BI-10001544,2
MX-2012-156720,17-02-2012,Filia McAdams,Medium,OFF-BI-10001430,2
MX-2012-140767,18-02-2012,Ross Baird,Medium,OFF-BI-10000806,2
ES-2012-5356719,20-02-2012,Jenna Caffey,Medium,OFF-BI-10002459,2
EG-2012-240,20-02-2012,Marina Lichtenstein,Medium,OFF-WIL-10002593,2
CA-2012-162782,21-02-2012,Pierre Wener,Medium,OFF-BI-10003527,2
CA-2012-132276,23-02-2012,Lindsay Castell,Medium,OFF-BI-10002982,2
SF-2012-6660,29-02-2012,Dave Hallsten,Medium,OFF-IBI-10001123,2
ES-2012-5451215,9/3/2012,Pierre Wener,Medium,OFF-BI-10000815,2
ES-2012-3748239,17-03-2012,Rob Dowd,Medium,OFF-BI-10003774,2
ES-2012-3613797,20-03-2012,Jason Gross,Medium,OFF-BI-10000341,2
CA-2012-127607,20-03-2012,Joe Kamberova,Medium,OFF-BI-10001308,2
SG-2012-4640,21-03-2012,Chuck Magee,Medium,OFF-ACC-10002772,2
ES-2012-2229596,23-03-2012,Stefania Perrino,Medium,OFF-BI-10002128,2
ID-2012-47456,28-03-2012,Dianna Vittorini,Medium,OFF-BI-10004240,2
MX-2012-112151,3/4/2012,Patrick Gardner,Medium,OFF-BI-10004969,2
IN-2012-28612,6/4/2012,Mitch Willingham,Medium,OFF-BI-10004454,2
CA-2012-168767,10/4/2012,Dario Medina,Medium,OFF-BI-10000773,2
ES-2012-1496224,17-04-2012,John Murray,Medium,OFF-BI-10001984,2
KG-2012-2770,19-04-2012,Valerie Mitchum,Medium,OFF-AVE-10004512,2
MX-2012-129672,22-04-2012,Dario Medina,Medium,OFF-BI-10004145,2
ES-2012-3263566,23-04-2012,Bill Eplett,Medium,OFF-BI-10003774,2
IT-2012-2539640,27-04-2012,Juliana Krohn,Medium,OFF-BI-10000620,2
ES-2012-4741068,30-04-2012,Michelle Arnett,Medium,OFF-BI-10001058,2
MX-2012-150028,30-04-2012,Muhammed Lee,Medium,OFF-BI-10002414,2
MX-2012-168431,10/5/2012,Lynn Smith,Medium,OFF-BI-10001362,2
CA-2012-119291,14-05-2012,Jesus Ocampo,Medium,OFF-BI-10001575,2
IN-2012-56556,22-05-2012,Chris Cortes,Medium,OFF-BI-10003582,2
MX-2012-101035,24-05-2012,Lela Donovan,Medium,OFF-BI-10004200,2
CA-2012-135020,28-05-2012,Maxwell Schwartz,Medium,OFF-BI-10000605,2
IN-2012-82729,30-05-2012,Gene Hale,Medium,OFF-BI-10004741,2
IN-2012-11700,1/6/2012,Barbara Fisher,Medium,OFF-BI-10002853,2
ES-2012-5847046,4/6/2012,Kelly Collister,Medium,OFF-BI-10000734,2
CA-2012-9610,5/6/2012,Nicole Hansen,Medium,OFF-ACC-10002220,2
ES-2012-2555687,6/6/2012,Sonia Sunley,Medium,OFF-BI-10002738,2
MX-2012-167927,6/6/2012,Troy Staebel,Medium,OFF-BI-10000827,2
CA-2012-162201,8/6/2012,Andrew Gjertsen,Medium,OFF-BI-10002429,2
CA-2012-121720,11/6/2012,Jim Epp,Medium,OFF-BI-10001308,2
IN-2012-42668,12/6/2012,Kristen Hastings,Medium,OFF-BI-10003713,2
IN-2012-24664,13-06-2012,Magdelene Morse,Medium,OFF-BI-10004483,2
CA-2012-155054,13-06-2012,Penelope Sewall,Medium,OFF-BI-10002824,2
CA-2012-155054,13-06-2012,Penelope Sewall,Medium,OFF-BI-10004970,2
MX-2012-141936,17-06-2012,Mary O'Rourke,Medium,OFF-BI-10000404,2
EG-2012-2470,18-06-2012,Joni Wasserman,Medium,OFF-ACC-10002680,2
CA-2012-133242,18-06-2012,Keith Herrera,Medium,OFF-BI-10004002,2
CA-2012-133242,18-06-2012,Keith Herrera,Medium,OFF-BI-10004826,2
CA-2012-122287,18-06-2012,Skye Norling,Medium,OFF-BI-10003707,2
NI-2012-3320,19-06-2012,Chris Cortes,Medium,OFF-WIL-10000604,2
ES-2012-1704393,19-06-2012,Todd Sumrall,Medium,OFF-BI-10000267,2
CA-2012-144302,19-06-2012,Maria Etezadi,Medium,OFF-BI-10001107,2
CA-2012-153423,22-06-2012,Shaun Weien,Medium,OFF-BI-10000545,2
MX-2012-106880,22-06-2012,Jeremy Lonsdale,Medium,OFF-BI-10002715,2
IZ-2012-3760,26-06-2012,Beth Thompson,Medium,OFF-IBI-10000099,2
CA-2012-103772,28-06-2012,Mark Packer,Medium,OFF-BI-10002867,2
TU-2012-7900,28-06-2012,Kean Nguyen,Medium,OFF-IBI-10003191,2
ES-2012-4207693,3/7/2012,Karen Seio,Medium,OFF-BI-10001639,2
US-2012-168515,13-07-2012,Cyma Kinney,Medium,OFF-BI-10003975,2
IN-2012-78305,15-07-2012,Mark Cousins,Medium,OFF-BI-10000928,2
NI-2012-1930,21-07-2012,Ed Ludwig,Medium,OFF-IBI-10001951,2
ES-2012-2633867,1/8/2012,Delfina Latchford,Medium,OFF-BI-10000282,2
IN-2012-41177,2/8/2012,Art Foster,Medium,OFF-BI-10004986,2
ES-2012-2123999,3/8/2012,Matt Hagelstein,Medium,OFF-BI-10001384,2
EG-2012-520,3/8/2012,Alan Hwang,Medium,OFF-AVE-10002102,2
CA-2012-131338,9/8/2012,Naresj Patel,Medium,OFF-BI-10000545,2
ES-2012-1780035,10/8/2012,Sung Shariari,Medium,OFF-BI-10003124,2
ES-2012-1456782,13-08-2012,Toby Swindell,Medium,OFF-BI-10001900,2
ES-2012-3603495,15-08-2012,Shahid Shariari,Medium,OFF-BI-10001622,2
IN-2012-29487,19-08-2012,Jane Waco,Medium,OFF-BI-10000006,2
CA-2012-8480,20-08-2012,Seth Vernon,Medium,OFF-CAR-10000319,2
ZI-2012-1700,23-08-2012,Adam Bellavance,Medium,OFF-AVE-10004827,2
IN-2012-83380,27-08-2012,Charles Sheldon,Medium,OFF-BI-10003985,2
SL-2012-3310,29-08-2012,Mary Zewe,Medium,OFF-IBI-10004855,2
ES-2012-4552650,31-08-2012,Toby Gnade,Medium,OFF-BI-10002986,2
IR-2012-1100,2/9/2012,Beth Fritzler,Medium,OFF-ACC-10000233,2
ID-2012-23152,3/9/2012,Mark Packer,Medium,OFF-BI-10004120,2
US-2012-146745,3/9/2012,Ann Steele,Medium,OFF-BI-10003274,2
RO-2012-3960,3/9/2012,Anthony Witt,Medium,OFF-AVE-10003279,2
CA-2012-101924,4/9/2012,Ken Black,Medium,OFF-BI-10000962,2
CA-2012-138002,6/9/2012,Beth Thompson,Medium,OFF-BI-10002160,2
TZ-2012-220,7/9/2012,Sandra Glassco,Medium,OFF-CAR-10003703,2
IN-2012-46560,7/9/2012,Sam Zeldin,Medium,OFF-BI-10001324,2
CA-2012-164084,7/9/2012,Andy Gerbode,Medium,OFF-BI-10000605,2
MX-2012-162915,11/9/2012,Arthur Prichep,Medium,OFF-BI-10004177,2
IN-2012-30166,11/9/2012,Logan Haushalter,Medium,OFF-BI-10002335,2
ES-2012-1721838,11/9/2012,Eugene Barchas,Medium,OFF-BI-10002193,2
IT-2012-1609351,17-09-2012,Paul Stevenson,Medium,OFF-BI-10004448,2
MX-2012-113285,17-09-2012,Jason Gross,Medium,OFF-BI-10001362,2
US-2012-150630,17-09-2012,Tracy Blumstein,Medium,OFF-BI-10000474,2
IN-2012-78039,17-09-2012,Filia McAdams,Medium,OFF-BI-10001659,2
CA-2012-156013,20-09-2012,Tamara Chand,Medium,OFF-BI-10002437,2
MX-2012-150560,21-09-2012,Odella Nelson,Medium,OFF-BI-10002517,2
CA-2012-158421,21-09-2012,Giulietta Baptist,Medium,OFF-BI-10000050,2
CA-2012-102260,22-09-2012,Sanjit Jacobs,Medium,OFF-BI-10000042,2
CA-2012-159779,25-09-2012,Sarah Brown,Medium,OFF-BI-10002735,2
CA-2012-124800,26-09-2012,Rick Wilson,Medium,OFF-BI-10000778,2
CA-2012-106978,28-09-2012,Zuschuss Carroll,Medium,OFF-BI-10002012,2
MX-2012-117870,3/10/2012,Thomas Boland,Medium,OFF-BI-10003400,2
TU-2012-8280,4/10/2012,Jill Stevenson,Medium,OFF-WIL-10000146,2
IN-2012-60161,5/10/2012,Andrew Allen,Medium,OFF-BI-10004651,2
ID-2012-28689,8/10/2012,Alyssa Crouse,Medium,OFF-BI-10004868,2
EG-2012-9480,9/10/2012,Julia Barnett,Medium,OFF-CAR-10004293,2
IN-2012-56017,9/10/2012,Todd Sumrall,Medium,OFF-BI-10001904,2
CA-2012-162761,9/10/2012,Sonia Cooley,Medium,OFF-BI-10002498,2
CA-2012-162761,9/10/2012,Sonia Cooley,Medium,OFF-BI-10000145,2
CA-2012-134747,12/10/2012,Daniel Lacy,Medium,OFF-BI-10001308,2
SA-2012-6100,19-10-2012,Mike Vittorini,Medium,OFF-CAR-10004293,2
MX-2012-109337,19-10-2012,Yana Sorensen,Medium,OFF-BI-10002126,2
ES-2012-2712442,23-10-2012,Robert Barroso,Medium,OFF-BI-10004628,2
MX-2012-131870,24-10-2012,Sean Christensen,Medium,OFF-BI-10003975,2
ID-2012-78515,25-10-2012,Craig Carroll,Medium,OFF-BI-10003012,2
IN-2012-36123,26-10-2012,Pauline Johnson,Medium,OFF-BI-10003012,2
ES-2012-3676966,27-10-2012,Michelle Lonsdale,Medium,OFF-BI-10001843,2
IN-2012-45608,29-10-2012,Tracy Poddar,Medium,OFF-BI-10001028,2
MX-2012-136098,29-10-2012,Dorothy Dickinson,Medium,OFF-BI-10003112,2
IN-2012-81812,30-10-2012,Maria Zettner,Medium,OFF-BI-10000968,2
ES-2012-1919871,2/11/2012,Mark Packer,Medium,OFF-BI-10001804,2
ES-2012-1790498,2/11/2012,Brian Dahlen,Medium,OFF-BI-10000312,2
NI-2012-4270,9/11/2012,Clay Cheatham,Medium,OFF-AVE-10003740,2
ES-2012-4604882,9/11/2012,Muhammed Lee,Medium,OFF-BI-10001717,2
CA-2012-113628,12/11/2012,Anna Häberlin,Medium,OFF-BI-10003291,2
CA-2012-104948,13-11-2012,Keith Herrera,Medium,OFF-BI-10001267,2
US-2012-111927,14-11-2012,Lycoris Saunders,Medium,OFF-BI-10002571,2
SL-2012-4330,15-11-2012,Charles Crestani,Medium,OFF-WIL-10003532,2
CM-2012-6570,15-11-2012,Anthony Garverick,Medium,OFF-AVE-10004909,2
TX-2012-690,15-11-2012,Tony Molinari,Medium,OFF-AVE-10003740,2
TU-2012-5220,15-11-2012,Corinna Mitchell,Medium,OFF-WIL-10002153,2
ES-2012-4279457,15-11-2012,Bobby Elias,Medium,OFF-BI-10003642,2
IN-2012-65726,16-11-2012,Daniel Byrd,Medium,OFF-BI-10001266,2
MX-2012-104269,16-11-2012,Thais Sissman,Medium,OFF-BI-10004195,2
CA-2012-145814,19-11-2012,Katherine Ducich,Medium,OFF-BI-10003196,2
TU-2012-9310,19-11-2012,Craig Reiter,Medium,OFF-IBI-10001123,2
ES-2012-2006883,20-11-2012,Tonja Turnell,Medium,OFF-BI-10003642,2
ES-2012-1450950,21-11-2012,Shaun Chance,Medium,OFF-BI-10003650,2
US-2012-108882,21-11-2012,Katrina Willman,Medium,OFF-BI-10001362,2
CA-2012-107083,21-11-2012,Brenda Bowman,Medium,OFF-BI-10000756,2
ES-2012-2340369,22-11-2012,Harold Engle,Medium,OFF-BI-10002225,2
CA-2012-100545,22-11-2012,Irene Maddox,Medium,OFF-BI-10003638,2
CA-2012-168459,22-11-2012,Marc Crier,Medium,OFF-BI-10003712,2
CA-2012-111395,23-11-2012,Victoria Brennan,Medium,OFF-BI-10002867,2
CA-2012-153416,24-11-2012,Toby Swindell,Medium,OFF-BI-10002813,2
CA-2012-160059,27-11-2012,Thomas Brumley,Medium,OFF-BI-10000145,2
CA-2012-119907,1/12/2012,Logan Currie,Medium,OFF-BI-10001765,2
ES-2012-5432701,3/12/2012,Lisa Ryan,Medium,OFF-BI-10003616,2
MX-2012-137561,3/12/2012,Luke Schmidt,Medium,OFF-BI-10003162,2
IN-2012-31762,5/12/2012,Jonathan Doherty,Medium,OFF-BI-10000328,2
ES-2012-4306010,5/12/2012,Ivan Gibson,Medium,OFF-BI-10003763,2
CA-2012-165050,7/12/2012,Alan Hwang,Medium,OFF-BI-10003727,2
HR-2012-5400,10/12/2012,Beth Paige,Medium,OFF-CAR-10001577,2
IN-2012-50466,11/12/2012,Anna Häberlin,Medium,OFF-BI-10000389,2
IZ-2012-3230,11/12/2012,Karl Braun,Medium,OFF-WIL-10002153,2
CA-2012-145065,12/12/2012,Dennis Kane,Medium,OFF-BI-10002437,2
CA-2012-139962,13-12-2012,Dean percer,Medium,OFF-BI-10004738,2
BO-2012-5210,14-12-2012,Logan Currie,Medium,OFF-CAR-10001358,2
IN-2012-16845,15-12-2012,Monica Federle,Medium,OFF-BI-10003340,2
EG-2012-1730,20-12-2012,Kean Thornton,Medium,OFF-IBI-10000080,2
ES-2012-2922477,20-12-2012,Saphhira Shifley,Medium,OFF-BI-10002047,2
AU-2012-5610,21-12-2012,Stuart Van,Medium,OFF-CAR-10001358,2
MX-2012-111885,21-12-2012,David Kendrick,Medium,OFF-BI-10000188,2
TU-2012-450,25-12-2012,Alyssa Tate,Medium,OFF-AVE-10003279,2
MX-2012-156482,26-12-2012,Sean Braxton,Medium,OFF-BI-10002080,2
MX-2012-153948,26-12-2012,Saphhira Shifley,Medium,OFF-BI-10002796,2
IN-2012-61918,28-12-2012,Odella Nelson,Medium,OFF-BI-10003588,2
CA-2012-109197,31-12-2012,Jas O'Carroll,Medium,OFF-BI-10004632,2
IN-2013-80594,2/1/2013,Kelly Andreada,Medium,OFF-BI-10004185,2
MX-2013-159583,2/1/2013,Tanja Norvell,Medium,OFF-BI-10000517,2
CA-2013-105207,3/1/2013,Bill Overfelt,Medium,OFF-BI-10004364,2
MX-2013-166926,4/1/2013,Magdelene Morse,Medium,OFF-BI-10001613,2
PL-2013-6270,7/1/2013,Alyssa Tate,Medium,OFF-IBI-10000779,2
TU-2013-2810,10/1/2013,Adrian Shami,Medium,OFF-WIL-10003308,2
CA-2013-121755,16-01-2013,Eric Hoffmann,Medium,OFF-BI-10001634,2
